ids	Pwy	pcomplex	kegg_modules	operon	regulator_name
2319	GALACTMETAB-PWY	GALACTURIDYLYLTRANS-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	HU
2319	GALACTMETAB-PWY	GALACTURIDYLYLTRANS-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	HU
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	CRP
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	CRP
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	CRP
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	CRP
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	CRP
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	CRP
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	CRP
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	CRP
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	CRP
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	GalR
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	GalR
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	GalR
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	GalR
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	GalR
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	GalR
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	GalR
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	GalR
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	GalR
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	GalS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	GalS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	GalS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	GalS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	GalS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	GalS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	GalS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	GalS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	GalS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	H-NS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	H-NS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	H-NS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	H-NS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	H-NS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	H-NS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	H-NS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	H-NS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	H-NS
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	HU
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	HU
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	HU
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	HU
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	HU
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	HU
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	HU
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	HU
2413	GALACTMETAB-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	HU
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	CRP
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	CRP
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	CRP
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	CRP
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	CRP
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	CRP
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	CRP
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	CRP
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	CRP
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	GalR
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	GalR
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	GalR
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	GalR
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	GalR
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	GalR
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	GalR
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	GalR
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	GalR
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	GalS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	GalS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	GalS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	GalS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	GalS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	GalS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	GalS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	GalS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	GalS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	H-NS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	H-NS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	H-NS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	H-NS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	H-NS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	H-NS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	H-NS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	H-NS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	H-NS
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	HU
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	HU
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	HU
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	HU
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	HU
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	HU
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	HU
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	HU
2413	COLANSYN-PWY	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	HU
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	CRP
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	CRP
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	CRP
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	CRP
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	CRP
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	CRP
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	CRP
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	CRP
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	CRP
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	GalR
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	GalR
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	GalR
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	GalR
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	GalR
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	GalR
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	GalR
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	GalR
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	GalR
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	GalS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	GalS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	GalS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	GalS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	GalS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	GalS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	GalS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	GalS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	GalS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	H-NS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	H-NS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	H-NS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	H-NS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	H-NS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	H-NS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	H-NS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	H-NS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	H-NS
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42584	HU
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42581	HU
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00026	HU
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42582	HU
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42578	HU
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-4545	HU
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42583	HU
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU0-42580	HU
2413	PWY-7344	UDPGLUCEPIM-CPLX	eco_M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	TU00025	HU
2404	NA	NA	NA	TU0-13040	NA
1967	NA	CPLX0-2541	NA	TU0-13040	NA
2870	NA	ABC-19-CPLX	NA	TU00301	CRP
2870	NA	ABC-19-CPLX	NA	TU0-14276	CRP
2870	NA	ABC-19-CPLX	NA	TU00301	ModE
2870	NA	ABC-19-CPLX	NA	TU0-14276	ModE
2059	NA	ABC-19-CPLX	NA	TU00301	CRP
2059	NA	ABC-19-CPLX	NA	TU0-14276	CRP
2059	NA	ABC-19-CPLX	NA	TU00301	ModE
2059	NA	ABC-19-CPLX	NA	TU0-14276	ModE
2153	NA	ABC-19-CPLX	NA	TU00301	CRP
2153	NA	ABC-19-CPLX	NA	TU0-14276	CRP
2153	NA	ABC-19-CPLX	NA	TU00301	ModE
2153	NA	ABC-19-CPLX	NA	TU0-14276	ModE
701	HEXITOLDEGSUPER-PWY	NA	NA	TU0-8564	NA
701	GLUCONEO-PWY	NA	NA	TU0-8564	NA
701	PWY-5484	NA	NA	TU0-8564	NA
701	GLYCOLYSIS-TCA-GLYOX-BYPASS	NA	NA	TU0-8564	NA
701	GLYCOLYSIS	NA	NA	TU0-8564	NA
701	GLYCOLYSIS-E-D	NA	NA	TU0-8564	NA
1053	OXIDATIVEPENT-PWY	NA	eco_M00004  Pentose phosphate pathway (Pentose phosphate cycle)	TU0-8101	NA
1053	OXIDATIVEPENT-PWY	NA	eco_M00006  Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	TU0-8101	NA
1053	OXIDATIVEPENT-PWY	NA	eco_M00008  Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	TU0-8101	NA
1053	PENTOSE-P-PWY	NA	eco_M00004  Pentose phosphate pathway (Pentose phosphate cycle)	TU0-8101	NA
1053	PENTOSE-P-PWY	NA	eco_M00006  Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	TU0-8101	NA
1053	PENTOSE-P-PWY	NA	eco_M00008  Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	TU0-8101	NA
1053	GLYCOLYSIS-E-D	NA	eco_M00004  Pentose phosphate pathway (Pentose phosphate cycle)	TU0-8101	NA
1053	GLYCOLYSIS-E-D	NA	eco_M00006  Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	TU0-8101	NA
1053	GLYCOLYSIS-E-D	NA	eco_M00008  Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	TU0-8101	NA
1129	NA	NA	NA	TU0-13042	NA
774	NA	NA	NA	TU0-13043	NA
51	NA	NA	NA	TU0-13045	NA
1070	NA	NA	NA	TU0-13046	NA
1831	BIOTIN-BIOSYNTHESIS-PWY	DAPASYN-CPLX	eco_M00123  Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	TU00013	BirA
1831	PWY0-1507	DAPASYN-CPLX	eco_M00123  Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	TU00013	BirA
1198	BIOTIN-BIOSYNTHESIS-PWY	BIOTIN-SYN-CPLX	eco_M00123  Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	TU00117	BirA
1198	PWY0-1507	BIOTIN-SYN-CPLX	eco_M00123  Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	TU00117	BirA
1288	BIOTIN-BIOSYNTHESIS-PWY	7KAPSYN-CPLX	eco_M00123  Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	TU00117	BirA
1288	PWY-6519	7KAPSYN-CPLX	eco_M00123  Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	TU00117	BirA
1383	BIOTIN-BIOSYNTHESIS-PWY	NA	eco_M00572  Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	TU00117	BirA
1383	PWY-6519	NA	eco_M00572  Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	TU00117	BirA
1475	BIOTIN-BIOSYNTHESIS-PWY	DETHIOBIOTIN-SYN-CPLX	eco_M00123  Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	TU00117	BirA
1475	PWY0-1507	DETHIOBIOTIN-SYN-CPLX	eco_M00123  Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	TU00117	BirA
1942	NA	UVRABC-CPLX	NA	TU0-7044	LexA
1942	NA	UVRABC-CPLX	NA	TU0-14730	LexA
1942	NA	UVRABC-CPLX	NA	TU00070	LexA
923	NA	NA	NA	TU0-6363	NA
430	PWY-6823	NA	eco_M00880  Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	TU00300	FNR
430	PWY-6823	NA	eco_M00880  Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	TU0-1123	FNR
430	PWY-6823	NA	eco_M00880  Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	TU00300	CueR
430	PWY-6823	NA	eco_M00880  Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	TU0-1123	CueR
430	PWY-6823	NA	eco_M00880  Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	TU00300	ModE
430	PWY-6823	NA	eco_M00880  Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	TU0-1123	ModE
1655	PWY-6823	CPLX-8331	eco_M00880  Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	TU0-7262	FNR
1655	PWY-6823	CPLX-8331	eco_M00880  Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	TU00300	FNR
1655	PWY-6823	CPLX-8331	eco_M00880  Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	TU0-1123	FNR
1655	PWY-6823	CPLX-8331	eco_M00880  Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	TU0-7262	CueR
